area;spot_id;length;hillyness;no_bobil_nor_caravan;end_row;not_spot;no_bobil;reserved;length_norm
Vårdalen;B10;7.3;;;;;;;0.4125
Vårdalen;B11;7.3;;;;;;;0.4125
Vårdalen;B12;7.3;;;;;;;0.4125
Vårdalen;B13;8.5;;;;;;;0.5625
Vårdalen;B14;8.5;;;;;;;0.5625
Vårdalen;B15;8.5;;;;;;;0.5625
Vårdalen;B16;10;;;;;;;0.75
Vårdalen;B17;10;;;1;;;;0.75
Vårdalen;C1;10;;;;;;;0.75
Vårdalen;C2;10;;;;;;;0.75
Vårdalen;C3;10;;;;;;;0.75
Vårdalen;C4;10;;;;;;;0.75
Vårdalen;C5;10;;;;;;;0.75
Vårdalen;C6;10;;;;;;;0.75
Vårdalen;C7;6.8;;;;;;;0.35
Vårdalen;C8;6.8;;;1;;;;0.35
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Vårdalen;D1;9;0.3;;;;;;0.625
Vårdalen;D2;9;0.3;;;;;;0.625
Vårdalen;D3;9;0.3;;;;;;0.625
Vårdalen;D4;9;;;;;;;0.625
Vårdalen;D5;9;;;;;;;0.625
Vårdalen;D6;9;;;;;;;0.625
Vårdalen;D7;9;;;;;;;0.625
Vårdalen;D8;9;;;;;;;0.625
Vårdalen;D9;9;;;;;;;0.625
Vårdalen;D10;9;;;;;;;0.625
Vårdalen;D11;9;;;;;;;0.625
Vårdalen;D12;9;;;;;;;0.625
Vårdalen;D13;8;;;;;;;0.5
Vårdalen;D14;8;;;;;;;0.5
Vårdalen;D15;8;;;;;;;0.5
Vårdalen;D16;6.6;;;;;;;0.325
Vårdalen;D17;6.6;;;;;;;0.325
Vårdalen;D18;6.6;;;;;;;0.325
Vårdalen;D19;5.5;;;;;;;0.1875
Vårdalen;D20;5.5;;;;;;;0.1875
Vårdalen;D21;5.5;;;;;;;0.1875
Vårdalen;D22;5;;1;;;;;0.125
Vårdalen;D23;5;;1;;;;;0.125
Vårdalen;D24;5.5;;1;;;;;0.1875
Vårdalen;D25;5.5;;1;1;;;;0.1875
Vårdalen;D26;8;;;;;;;0.5
Vårdalen;D27;8;;;;;;;0.5
Vårdalen;D28;8;;;;;;;0.5
Vårdalen;D29;7;;;;;;;0.375
Vårdalen;D30;7;;;;;;;0.375
Vårdalen;D31;7;;;1;;;;0.375
Vårdalen;D32;6.3;;;;;;;0.2875
Vårdalen;D33;6.3;;;;;;;0.2875
Vårdalen;D34;6.3;;;;;;;0.2875
Vårdalen;D35;8.7;;;;;;;0.5875
Vårdalen;D36;8.7;;;;;;;0.5875
Vårdalen;D37;8.7;;;;;;;0.5875
Vårdalen;D38;8.7;;;;;;;0.5875
Vårdalen;D39;8.7;;;;;;;0.5875
Vårdalen;D40;8.7;;;;;;;0.5875
Vårdalen;D41;8.7;;;;;;;0.5875
Vårdalen;D42;8.7;;;;;;;0.5875
Vårdalen;D43;8.7;;;;;;;0.5875
Vårdalen;D44;8.5;;1;;;;;0.5625
Vårdalen;D45;8.5;;1;1;;;;0.5625
Vårdalen;E1;10;;;;;;;0.75
Vårdalen;E2;10;;;;;;;0.75
Vårdalen;E3;10;;;;;;;0.75
Vårdalen;E4;10;;;;;;;0.75
Vårdalen;E5;10;;;;;;;0.75
Vårdalen;E6;10;;;;;;;0.75
Vårdalen;E7;10;;;;;;;0.75
Vårdalen;E8;10;;;;;;;0.75
Vårdalen;E9;10;;;;;;;0.75
Vårdalen;E10;10;;;;;;;0.75
Vårdalen;E11;10;;;;;;;0.75
Vårdalen;E12;10;;;1;;;;0.75
Vårdalen;E13;4;;1;;;;;0
Vårdalen;E14;4;;1;;;;;0
Vårdalen;E15;4;;1;;;;;0
Vårdalen;E16;4;;1;;;;;0
Vårdalen;E17;4;;1;;;;;0
Vårdalen;E18;4;;1;;;;;0
Vårdalen;E19;4;;1;1;;;;0
Vårdalen;E20;10;;;;;;;0.75
Vårdalen;E21;10;;;;;;;0.75
Vårdalen;E22;10;;;;;;;0.75
Vårdalen;E23;10;;;;;;;0.75
Vårdalen;E24;10;;;;;;;0.75
Vårdalen;E25;10;;;;;;;0.75
Vårdalen;E26;10;;;;;;;0.75
Vårdalen;E27;10;;;;;;;0.75
Vårdalen;E28;10;;;;;;;0.75
Vårdalen;E29;10;;;;;;;0.75
Vårdalen;E30;10;;;;;;;0.75
Vårdalen;E31;10;;;;;;;0.75
Vårdalen;E32;10;;;;;;;0.75
Vårdalen;E33;10;;;;;;;0.75
Vårdalen;E34;10;;;;;;;0.75
Vårdalen;E35;10;;;1;;;;0.75
Vårdalen;F1;10;;;;;;;0.75
Vårdalen;F2;10;;;;;;;0.75
Vårdalen;F3;10;;;;;;;0.75
Vårdalen;F4;9;;;;;;;0.625
Vårdalen;F5;9;;;;;;;0.625
Vårdalen;F6;9;;;;;;;0.625
Vårdalen;F7;9;;;;;;;0.625
Vårdalen;F8;9;;;;;;;0.625
Vårdalen;F9;9;;;;;;;0.625
Vårdalen;F10;9;;;;;;;0.625
Vårdalen;F11;9;;;1;;;;0.625
Vårdalen;F12;6.7;0.4;1;;;;;0.3375
Vårdalen;F13;6.7;0.4;1;;;;;0.3375
Vårdalen;F14;6.7;0.4;1;;;;;0.3375
Vårdalen;F15;6.7;0.4;1;;;;;0.3375
Vårdalen;F16;7.3;0.1;;;;;;0.4125
Vårdalen;F17;7.3;0.1;;;;;;0.4125
Vårdalen;F18;7.3;0.1;;;;;;0.4125
Vårdalen;F19;9;0.1;;;;;;0.625
Vårdalen;F20;9;0.1;;;;;;0.625
Vårdalen;F21;9;0.1;;;;;;0.625
Vårdalen;F22;7.5;;;;;;;0.4375
Vårdalen;F23;7.5;;;;;;;0.4375
Vårdalen;F24;7.5;;;1;;;;0.4375
Vårdalen;F25;7.5;0.6;;;;;;0.4375
Vårdalen;F26;7.5;0.6;;;;;;0.4375
Vårdalen;F27;7.5;0.6;;;;;;0.4375
Vårdalen;F28;7;0.4;;;;;;0.375
Vårdalen;F29;7;0.4;;;;;;0.375
Vårdalen;F30;7;0.4;;1;;;;0.375
Fjellterrassen;A1;7.8;;;;;;;0.475
Fjellterrassen;A2;7.8;;;;;;;0.475
